ZIP,sdi_score,quintile,lng,lat
10583,3,1,-73.79443,40.98916
10588,16,1,-73.82624,41.33222
10589,5,1,-73.6933,41.33178
10590,1,1,-73.53719,41.25421
10591,60,4,-73.84653,41.08436
10594,9,1,-73.771,41.11579
10595,38,2,-73.78097,41.08626
10596,77,4,-73.95854,41.25552
10597,2,1,-73.59703,41.29423
10598,8,1,-73.79516,41.28309
10601,75,4,-73.7648,41.03288
10603,49,3,-73.78014,41.05364
10604,59,3,-73.73955,41.06013
10605,31,2,-73.74518,41.0095
10606,73,4,-73.77588,41.02065
10607,22,2,-73.81214,41.03949
10701,94,5,-73.88034,40.94702
10703,79,4,-73.88114,40.95765
10704,56,3,-73.86187,40.91911
10705,95,5,-73.88928,40.91929
10706,13,1,-73.86951,40.99047
10707,31,2,-73.82291,40.95961
10708,23,2,-73.83167,40.9379
10709,14,1,-73.80885,40.95337
10710,40,3,-73.84739,40.96732
10801,84,5,-73.78396,40.91751
10803,13,1,-73.80619,40.89978
10804,3,1,-73.78629,40.94914
10805,72,4,-73.78028,40.89593
10901,24,2,-74.12504,41.14554
10910,10,1,-74.13625,41.2773
10911,NA,NA,-73.99243,41.30798
10913,9,1,-73.95574,41.06845
10914,4,1,-74.20087,41.41671
10915,40,3,-74.35714,41.54022
10916,3,1,-74.24311,41.44881
10917,18,1,-74.11094,41.31851
10918,9,1,-74.25828,41.34816
10919,26,2,-74.38327,41.52836
10920,28,2,-73.9393,41.15477
10921,11,1,-74.3651,41.3292
10922,13,1,-73.99604,41.32794
10923,56,3,-74.00031,41.20265
10924,27,2,-74.3512,41.3788
10925,15,1,-74.29535,41.20076
10926,43,3,-74.1307,41.25856
10927,90,5,-73.96735,41.19263
10928,33,2,-74.00265,41.3457
10930,8,1,-74.11035,41.3667
10931,45,3,-74.17012,41.12769
10932,1,1,-74.46352,41.482
10933,17,1,-74.51106,41.36527
10940,72,4,-74.46997,41.45149
10941,34,2,-74.34556,41.48923
10950,63,4,-74.19825,41.31919
10952,76,4,-74.07975,41.11385
10953,2,1,-74.07783,41.40581
10954,29,2,-74.01269,41.09969
10956,12,1,-73.99314,41.15562
10958,11,1,-74.42881,41.3764
10960,58,3,-73.92642,41.08892
10962,35,2,-73.96057,41.04857
10963,43,3,-74.54121,41.4669
10964,25,2,-73.91431,41.01642
10965,28,2,-74.01286,41.06176
10968,22,2,-73.91804,41.03976
10969,41,3,-74.48879,41.292
10970,41,3,-74.06568,41.1852
10973,41,3,-74.47566,41.38442
10974,19,1,-74.18993,41.15826
10975,9,1,-74.17042,41.25951
10976,70,4,-73.92594,41.02871
10977,89,5,-74.04825,41.11749
10979,16,1,-74.31877,41.18237
10980,15,1,-74.05709,41.23157
10983,8,1,-73.94826,41.02747
10984,4,1,-74.02008,41.20928
10985,21,2,-74.35782,41.57697
10986,4,1,-73.99445,41.27917
10987,8,1,-74.22284,41.20737
10988,19,1,-74.56218,41.30133
10989,10,1,-73.93632,41.12479
10990,14,1,-74.3663,41.2651
10992,16,1,-74.16567,41.42648
10993,78,4,-73.97565,41.21011
10994,3,1,-73.97322,41.09702
10996,14,1,-73.97257,41.38996
10998,18,1,-74.53989,41.33118
11001,14,1,-73.70451,40.72356
11003,47,3,-73.7078,40.70143
11004,28,2,-73.71147,40.74621
11005,6,1,-73.71424,40.75661
11010,19,1,-73.67514,40.70066
11020,13,1,-73.71293,40.77098
11021,26,2,-73.7289,40.78644
11023,24,2,-73.73282,40.7994
11024,20,2,-73.74205,40.81642
11030,5,1,-73.68868,40.79293
11040,11,1,-73.67979,40.74572
11042,11,1,-73.6975,40.758540000000004
11050,24,2,-73.69113,40.83815
11096,90,5,-73.75292,40.62143
11101,89,5,-73.93916,40.74679
11102,86,5,-73.92619,40.77161
11103,77,4,-73.91334,40.76261
11104,72,4,-73.92049,40.74484
11105,69,4,-73.90652,40.779
11106,84,5,-73.93169,40.76191
11109,35,2,-73.95699,40.7463
11201,62,4,-73.99031,40.69477
11203,87,5,-73.93431,40.64958
11204,85,5,-73.98496,40.61883
11205,96,5,-73.96807,40.69654
11206,99,5,-73.94254,40.7019
11207,99,5,-73.89383,40.67016
11208,97,5,-73.87243,40.67481
11209,68,4,-74.03013,40.62175
11210,75,4,-73.94631,40.62801
11211,85,5,-73.94602,40.71428
11212,100,5,-73.91308,40.6629
11213,96,5,-73.93632,40.67117
11214,85,5,-73.99644,40.59928
11215,49,3,-73.98687,40.66255
11216,92,5,-73.94929,40.68085
11217,69,4,-73.97943,40.68242
11218,84,5,-73.97645,40.64315
11219,88,5,-73.99672,40.63267
11220,98,5,-74.01741,40.64142
11221,99,5,-73.92764,40.6914
11222,57,3,-73.94764,40.72862
11223,86,5,-73.97344,40.59711
11224,93,5,-73.9891,40.57652
11225,91,5,-73.95392,40.6631
11226,93,5,-73.95666,40.64636
11228,70,4,-74.01337,40.61678
11229,73,4,-73.94453,40.60047
11230,84,5,-73.96525,40.6221
11231,78,4,-74.00644,40.67603
11232,97,5,-74.00727,40.65692
11233,99,5,-73.91994,40.67827
11234,61,4,-73.91107,40.6072
11235,74,4,-73.94331,40.58411
11236,83,5,-73.90098,40.63951
11237,100,5,-73.92108,40.70427
11238,73,4,-73.96636,40.67105
11239,97,5,-73.87136,40.64733
11354,84,5,-73.82743,40.7686
11355,84,5,-73.82125,40.75143
11356,77,4,-73.84149,40.78492
11357,35,2,-73.81094,40.78636
11358,56,3,-73.79648,40.76038
11359,NA,NA,-73.77662,40.79147
11360,29,2,-73.78159,40.7805
11361,48,3,-73.77294,40.76393
11362,25,2,-73.735830000000007,40.75899
11363,27,2,-73.74708,40.77251
11364,33,2,-73.75598,40.74625
11365,71,4,-73.79499,40.73983
11366,46,3,-73.7804,40.73112
11367,70,4,-73.82274,40.73044
11368,95,5,-73.85264,40.74962
11369,87,5,-73.87222,40.76345
11370,86,5,-73.88766,40.77554
11371,NA,NA,-73.87316,40.77445
11372,88,5,-73.88367,40.75172
11373,89,5,-73.87854,40.73892
11374,71,4,-73.86144,40.72647
11375,44,3,-73.84373,40.72315
11377,83,5,-73.90516,40.74483
11378,72,4,-73.91034,40.72493
11379,57,3,-73.88056,40.71709
11385,82,5,-73.89011,40.70103
11411,25,2,-73.73623,40.69406
11412,61,4,-73.759,40.69804
11413,53,3,-73.75116,40.67002
11414,51,3,-73.8448,40.65818
11415,58,3,-73.82801,40.70808
11416,90,5,-73.84967,40.68458
11417,82,5,-73.84455,40.67641
11418,86,5,-73.83603,40.70032
11419,86,5,-73.82302,40.68863
11420,75,4,-73.8177,40.67352
11421,80,5,-73.85865,40.69403
11422,58,3,-73.73658,40.66053
11423,70,4,-73.76826,40.71564
11424,NA,NA,-73.82809,40.71397
11426,32,2,-73.7223,40.73641
11427,54,3,-73.74569,40.73094
11428,63,4,-73.74222,40.72099
11429,71,4,-73.73843,40.70958
11430,49,3,-73.78717,40.64703
11432,88,5,-73.79295,40.71491
11433,95,5,-73.78675,40.69805
11434,79,4,-73.77623,40.67683
11435,91,5,-73.80968,40.70111
11436,77,4,-73.79664,40.67587
11451,NA,NA,-73.79579,40.7012
11501,40,3,-73.63921,40.74629
11507,8,1,-73.6521,40.77082
11509,2,1,-73.7286,40.58872
11510,28,2,-73.60809,40.65027
11514,34,2,-73.61298,40.74979
11516,25,2,-73.7263,40.6258
11518,8,1,-73.66691,40.63772
11520,73,4,-73.58305,40.65007
11530,4,1,-73.63654,40.72716
11542,71,4,-73.62879,40.87073
11545,1,1,-73.58853,40.82685
11547,11,1,-73.64505,40.82881
11548,31,2,-73.6097,40.81414
11549,1,1,-73.59973,40.71896
11550,92,5,-73.62039,40.70158
11552,24,2,-73.65073,40.6916
11553,65,4,-73.5923,40.70529
11554,14,1,-73.56044,40.71974
11556,16,1,-73.58327,40.719970000000004
11557,4,1,-73.6921,40.63723
11558,44,3,-73.64952,40.60539
11559,16,1,-73.71688,40.60615
11560,11,1,-73.59057,40.88068
11561,34,2,-73.64455,40.58969
11563,21,2,-73.67408,40.65746
11565,3,1,-73.67177,40.67505
11566,3,1,-73.55407,40.66307
11568,3,1,-73.59719,40.78659
11569,5,1,-73.58046,40.5903
11570,27,2,-73.63882,40.66504
11572,9,1,-73.63686,40.63231
11575,76,4,-73.58525,40.68044
11576,3,1,-73.64711,40.79791
11577,10,1,-73.6391,40.78288
11579,6,1,-73.64426,40.84406
11580,34,2,-73.70374,40.67491
11581,29,2,-73.71653,40.65153
11590,43,3,-73.57463,40.75541
11596,8,1,-73.6422,40.75968
11598,4,1,-73.71188,40.63109
11691,96,5,-73.76173,40.60152
11692,95,5,-73.79201,40.59373
11693,87,5,-73.81663,40.59649
11694,57,3,-73.85099,40.57532
11697,6,1,-73.91361,40.55749
11701,59,3,-73.41289,40.6817
11702,11,1,-73.33824,40.65155
11703,13,1,-73.32533,40.73325
11704,27,2,-73.35908,40.71623
11705,14,1,-73.05461,40.74514
11706,59,3,-73.24208,40.706
11709,6,1,-73.56005,40.90665
11710,7,1,-73.53293,40.67217
11713,55,3,-72.94253,40.77774
11714,8,1,-73.48615,40.74267
11715,5,1,-73.03531,40.75005
11716,28,2,-73.12729,40.77131
11717,72,4,-73.25223,40.78405
11718,3,1,-73.26391,40.71891
11719,28,2,-72.91175,40.77935
11720,18,1,-73.08202,40.87025
11721,3,1,-73.37009,40.89362
11722,77,4,-73.19657,40.78358
11724,1,1,-73.45288,40.86522
11725,5,1,-73.28085,40.84056
11726,65,4,-73.39564,40.67891
11727,36,2,-73.00368,40.88019
11729,21,2,-73.32161,40.76249
11730,8,1,-73.18456,40.72701
11731,6,1,-73.31703,40.86262
11732,8,1,-73.53916,40.84245
11733,2,1,-73.10544,40.93742
11735,15,1,-73.43284,40.73177
11738,11,1,-73.03761,40.83779
11739,3,1,-73.16275,40.71058
11740,10,1,-73.36118,40.86536
11741,10,1,-73.07043,40.79473
11742,11,1,-73.0419,40.81034
11743,7,1,-73.4266,40.88018
11746,32,2,-73.3608,40.81421
11747,2,1,-73.40931,40.78372
11749,18,1,-73.1708,40.80674
11751,6,1,-73.21424,40.72999
11752,11,1,-73.17359,40.75791
11753,3,1,-73.5411,40.78976
11754,13,1,-73.24738,40.88771
11755,17,1,-73.11748,40.8583
11756,9,1,-73.51656,40.72545
11757,27,2,-73.37356,40.68892
11758,6,1,-73.45626,40.65361
11762,3,1,-73.44707,40.68283
11763,31,2,-72.98245,40.82529
11764,5,1,-72.97544,40.93585
11765,4,1,-73.55862,40.88249
11766,10,1,-73.01645,40.93602
11767,7,1,-73.14535,40.84438
11768,3,1,-73.32611,40.91052
11769,5,1,-73.12929,40.73703
11770,2,1,-73.14123,40.64945
11771,7,1,-73.52651,40.8674
11772,59,3,-72.9875,40.76118
11776,24,2,-73.04567,40.91345
11777,6,1,-73.0645,40.95171
11778,22,2,-72.93073,40.94312
11779,26,2,-73.1156,40.8127
11780,7,1,-73.16973,40.89249
11782,8,1,-73.08024,40.73727
11783,4,1,-73.49068,40.67766
11784,28,2,-73.0422,40.86855
11786,2,1,-72.88939,40.94711
11787,5,1,-73.21089,40.85338
11788,5,1,-73.21318,40.81808
11789,12,1,-72.97214,40.95759
11790,6,1,-73.12777,40.90719
11791,3,1,-73.50282,40.82819
11792,1,1,-72.8302,40.94832
11793,2,1,-73.51024,40.6462
11794,2,1,-73.12475,40.91915
11795,4,1,-73.29827,40.70803
11796,15,1,-73.09986,40.72958
11797,3,1,-73.47004,40.81739
11798,75,4,-73.37497,40.752
11801,15,1,-73.52383,40.76256
11803,2,1,-73.4733,40.78177
11804,4,1,-73.45706,40.75829
11901,60,4,-72.64697,40.92424
11930,12,1,-72.10482,40.98877
11931,1,1,-72.62195,40.93347
11932,5,1,-72.30603,40.93322
11933,18,1,-72.75453,40.92449
11934,9,1,-72.79428,40.80201
11935,8,1,-72.48933,41.01795
11937,21,2,-72.20253,40.99714
11939,8,1,-72.34223,41.12627
11940,9,1,-72.75664,40.80819
11941,13,1,-72.72315,40.83311
11942,2,1,-72.57764,40.84901
11944,61,4,-72.37223,41.09888
11946,34,2,-72.52294,40.87033
11947,1,1,-72.58189,40.94302
11948,5,1,-72.55797,40.9662
11949,4,1,-72.80097,40.86496
11950,50,3,-72.84734,40.80627
11951,54,3,-72.83655,40.76624
11952,11,1,-72.54369,40.99716
11953,34,2,-72.95054,40.88585
11954,15,1,-71.9518,41.04458
11955,43,3,-72.82289,40.80777
11956,40,3,-72.46868,40.98067
11957,4,1,-72.26181,41.1492
11958,18,1,-72.4613,41.03688
11959,7,1,-72.60977,40.82903
11960,1,1,-72.70615,40.80894
11961,19,1,-72.88488,40.90458
11962,1,1,-72.27379,40.93715
11963,19,1,-72.32271,40.99921
11964,3,1,-72.31492,41.05743
11965,16,1,-72.34244,41.07727
11967,34,2,-72.87611,40.80092
11968,20,2,-72.42081,40.90035
11970,3,1,-72.57403,40.94029
11971,6,1,-72.42617,41.05949
11972,13,1,-72.70045,40.82362
11973,2,1,-72.88718,40.86583
11975,18,1,-72.25093,40.95146
11976,3,1,-72.34721,40.92986
11977,20,2,-72.67947,40.82769
11978,26,2,-72.64669,40.82878
11980,9,1,-72.92198,40.8321
12007,1,1,-73.93159,42.48889
12008,18,1,-73.9063,42.85367
12009,8,1,-74.03398,42.69824
12010,74,4,-74.17287,42.93752
12015,46,3,-73.82543,42.28315
12017,1,1,-73.45682,42.31453
12018,3,1,-73.52662,42.62926
12019,4,1,-73.88245,42.92993
12020,20,2,-73.87401,43.00208
12022,16,1,-73.33401,42.66653
12023,19,1,-74.16573,42.60656
12024,3,1,-73.53419,42.48134
12025,33,2,-74.11924,43.09142
12027,2,1,-73.90872,42.92122
12028,9,1,-73.44213,42.94545
12029,26,2,-73.42466,42.40397
12031,64,4,-74.46617,42.76579
12032,12,1,-74.55666,43.24042
12033,20,2,-73.70558,42.53665
12035,51,3,-74.37534,42.73453
12036,51,3,-74.68468,42.53564
12037,29,2,-73.55714,42.33506
12040,7,1,-73.35916,42.63047
12041,9,1,-73.97028,42.55893
12042,40,3,-73.89162,42.38185
12043,56,3,-74.5267,42.70357
12045,43,3,-73.79682,42.47974
12046,21,2,-73.92119,42.48864
12047,64,4,-73.72655,42.78396
12051,47,3,-73.83938,42.34493
12052,24,2,-73.47847,42.75767
12053,10,1,-74.18791,42.75283
12054,6,1,-73.86864,42.60764
12056,5,1,-74.0905,42.76761
12057,17,1,-73.34335,42.97316
12058,22,2,-73.923,42.3498
12059,8,1,-74.05811,42.61403
12060,22,2,-73.49284,42.41325
12061,9,1,-73.65658,42.59915
12062,12,1,-73.501,42.52871
12063,2,1,-73.63826,42.56442
12064,76,4,-74.65887,42.60711
12065,12,1,-73.78654,42.85402
12066,16,1,-74.30291,42.78011
12067,2,1,-73.91663,42.56083
12068,36,2,-74.40467,42.95701
12069,17,1,-74.28193,42.94336
12070,64,4,-74.25441,42.98513
12071,1,1,-74.41521,42.56971
12072,58,3,-74.36164,42.88102
12074,10,1,-74.04709,43.05219
12075,24,2,-73.64046,42.30145
12076,40,3,-74.38506,42.40868
12077,7,1,-73.7841,42.59426
12078,79,4,-74.36255,43.12338
12083,12,1,-74.03155,42.43151
12084,39,2,-73.90182,42.70411
12085,46,3,-73.96659,42.70043
12086,25,2,-74.10508,42.99684
12087,2,1,-73.8931,42.42794
12090,44,3,-73.35624,42.88073
12092,23,2,-74.38456,42.70396
12093,52,3,-74.6262,42.49599
12094,14,1,-73.48737,42.89091
12095,54,3,-74.41553,43.03151
12106,10,1,-73.71228,42.38871
12108,32,2,-74.42768,43.47045
12110,20,2,-73.77671,42.75349
12115,8,1,-73.59338,42.46747
12116,47,3,-74.91278,42.53849
12117,28,2,-74.25557,43.16894
12118,33,2,-73.72049,42.92096
12120,16,1,-74.1409,42.45781
12121,3,1,-73.60398,42.84368
12122,46,3,-74.31138,42.54341
12123,23,2,-73.60636,42.52239
12124,22,2,-73.78494,42.44652
12125,41,3,-73.40394,42.47633
12130,11,1,-73.65835,42.44156
12131,40,3,-74.46249,42.46573
12132,65,4,-73.63362,42.47102
12134,24,2,-74.23059,43.26533
12136,1,1,-73.56016,42.43249
12137,16,1,-74.12922,42.85727
12138,17,1,-73.37128,42.73735
12139,6,1,-74.56552,43.52096
12140,7,1,-73.56689,42.689
12143,37,2,-73.85218,42.48525
12144,43,3,-73.71801,42.63106
12147,35,2,-74.15147,42.51365
12148,4,1,-73.84652,42.83361
12149,52,3,-74.56692,42.62011
12150,9,1,-74.04923,42.87613
12151,9,1,-73.78874,42.92553
12153,8,1,-73.46692,42.63606
12154,23,2,-73.60124,42.93713
12155,24,2,-74.82337,42.59229
12156,15,1,-73.74354,42.47764
12157,25,2,-74.29892,42.66742
12158,5,1,-73.81903,42.53927
12159,7,1,-73.88503,42.64328
12160,29,2,-74.36619,42.76325
12161,6,1,-73.84606,42.53369
12164,20,2,-74.42717,43.62883
12165,23,2,-73.50756,42.31518
12166,41,3,-74.45644,42.83846
12167,68,4,-74.59011,42.42101
12168,36,2,-73.3751,42.5614
12169,37,2,-73.43559,42.58249
12170,20,2,-73.66234,42.99936
12172,60,4,-73.73895,42.28915
12173,27,2,-73.76196,42.39042
12174,38,2,-73.72802,42.35314
12175,35,2,-74.56161,42.55489
12176,25,2,-73.96787,42.38839
12177,21,2,-74.28459,42.95184
12180,77,4,-73.59997,42.7516
12182,82,5,-73.63519,42.80044
12183,58,3,-73.69259,42.74742
12184,11,1,-73.65387,42.42272
12185,4,1,-73.53507,42.90102
12186,8,1,-73.9737,42.62502
12187,19,1,-74.46537,42.62632
12188,33,2,-73.69589,42.8199
12189,62,4,-73.71688,42.73618
12190,31,2,-74.2733,43.47359
12192,6,1,-73.82136,42.40428
12193,6,1,-74.04327,42.51713
12194,32,2,-74.45431,42.53839
12195,15,1,-73.46505,42.47876
12196,1,1,-73.61708,42.63149
12197,40,3,-74.72587,42.6094
12198,10,1,-73.63285,42.67819
12202,91,5,-73.763,42.63355
12203,52,3,-73.85099,42.68138
12204,67,4,-73.72869,42.68723
12205,32,2,-73.83006,42.71719
12206,96,5,-73.78196,42.67415
12207,100,5,-73.74749,42.65657
12208,51,3,-73.80835,42.65293
12209,81,5,-73.78976,42.6382
12210,74,4,-73.75985,42.66399
12211,4,1,-73.76393,42.7083
12222,19,1,-73.82656,42.68637
12302,14,1,-73.98323,42.88188
12303,39,2,-73.92562,42.74938
12304,61,4,-73.89742,42.77375
12305,93,5,-73.95036,42.81219
12306,26,2,-74.03344,42.80686
12307,98,5,-73.93341,42.80507
12308,78,4,-73.92006,42.82152
12309,5,1,-73.86785,42.79693
12401,77,4,-74.05446,41.93504
12404,13,1,-74.23632,41.81602
12405,2,1,-74.0989,42.31585
12406,71,4,-74.56502,42.09647
12407,5,1,-74.35343,42.30075
12409,8,1,-74.16655,42.05662
12410,5,1,-74.45212,42.0706
12411,12,1,-74.04094,41.87975
12412,79,4,-74.27698,42.01218
12413,88,5,-74.02628,42.31338
12414,65,4,-73.92356,42.2211
12416,25,2,-74.28592,42.09554
12417,27,2,-73.98943,41.9073
12418,57,3,-74.1609,42.35863
12419,72,4,-74.10265,41.85948
12420,13,1,-74.37769,41.6743
12421,37,2,-74.5336,42.2512
12422,31,2,-74.20232,42.39205
12423,38,2,-74.11136,42.37968
12424,25,2,-74.14358,42.24689
12427,14,1,-74.11921,42.14771
12428,79,4,-74.44615,41.73817
12429,14,1,-73.961,41.83323
12430,55,3,-74.49933,42.20306
12431,28,2,-74.01843,42.35877
12432,42,3,-73.94403,42.04702
12433,5,1,-74.15526,42.00533
12434,68,4,-74.50793,42.36491
12435,52,3,-74.51148,41.72715
12436,1,1,-74.0746,42.20447
12438,16,1,-74.59667,42.21251
12439,12,1,-74.18789,42.29674
12440,39,2,-74.16338,41.78665
12441,1,1,-74.50625,42.1502
12442,61,4,-74.23545,42.22275
12443,5,1,-74.08536,41.93388
12444,16,1,-74.28993,42.24942
12446,43,3,-74.31655,41.79063
12448,4,1,-74.20067,42.07955
12449,70,4,-73.99338,41.99377
12450,16,1,-74.22176,42.13804
12451,24,2,-73.94802,42.30337
12452,43,3,-74.34986,42.23891
12453,43,3,-73.93629,42.0929
12454,45,3,-74.15038,42.2869
12455,52,3,-74.66334,42.14871
12456,31,2,-73.99703,42.03308
12457,61,4,-74.24659,42.03997
12458,59,3,-74.41666,41.82273
12459,16,1,-74.6805,42.23976
12460,26,2,-74.16676,42.42357
12461,29,2,-74.25246,41.90531
12463,11,1,-74.01573,42.1895
12464,29,2,-74.34452,42.04071
12465,5,1,-74.46725,42.15278
12466,14,1,-73.97826,41.90671
12468,37,2,-74.41375,42.29998
12469,30,2,-74.2421,42.44521
12470,25,2,-74.05515,42.26932
12471,36,2,-74.04195,41.83799
12472,29,2,-74.07447,41.84732
12473,10,1,-74.02827,42.26157
12474,60,4,-74.58117,42.29378
12475,16,1,-74.01332,42.01397
12477,42,3,-74.00028,42.08528
12480,20,2,-74.37683,42.13803
12481,20,2,-74.22718,41.97519
12482,80,5,-73.95587,42.26841
12483,40,3,-74.44184,41.66796
12484,8,1,-74.17338,41.87024
12485,36,2,-74.15288,42.20507
12486,20,2,-74.06235,41.83438
12487,27,2,-73.99555,41.86095
12489,48,3,-74.35462,41.75597
12490,NA,NA,-73.9251,42.12355
12491,20,2,-74.13311,41.96957
12492,15,1,-74.33453,42.18758
12493,24,2,-73.97283,41.79316
12494,14,1,-74.30169,41.94857
12495,39,2,-74.24563,42.08264
12496,33,2,-74.27256,42.32669
12498,6,1,-74.11007,42.04772
12501,32,2,-73.55953,41.85664
12502,36,2,-73.65409,42.08324
12503,39,2,-73.58139,42.03615
12504,42,3,-73.9094,42.02342
12507,7,1,-73.92126,42.00735
12508,71,4,-73.95351,41.49637
12512,9,1,-73.96471,41.5542
12513,36,2,-73.71639,42.21661
12514,5,1,-73.76274,41.87137
12515,59,3,-74.06451,41.68008
12516,35,2,-73.55343,42.10722
12517,26,2,-73.51103,42.13392
12518,22,2,-74.03571,41.41847
12520,15,1,-74.00693,41.43362
